living_in_m2,bedrooms,grade,price
203.45757,2,3,580000
306.5799,3,3,760000
348.38625,3,5,920000
195.0963,3,2,595000
199.74145,2,3,470000
165.36734,2,2,279000
170.94152,2,3,317000
222.9672,3,3,585000
163.50928,2,2,229000
202.52854,2,3,910000
95.69009,2,1,229950
259.663885,3,3,562000
168.15443,2,2,229500
205.31563,3,4,639000
144.92868,2,2,265000
226.68332,3,3,340000
190.45115,3,2,256000
115.19972,2,2,405000
147.71577,2,2,210000
288.92833,3,4,749950
203.45757,3,2,370000
99.40621,2,2,361500
195.0963,2,3,445000
216.46399,2,4,660000
215.53496,3,2,299000
367.89588,3,4,650000
213.6769,3,1,350000
160.72219,2,3,535500
388.33454,3,2,673200
385.54745,3,4,988990
127.27711,2,2,264500
228.54138,2,3,464000
165.36734,2,2,475000
109.62554,2,2,215000
104.05136,1,2,315000
113.34166,2,2,213500
87.32882,1,2,225000
138.332567,2,2,260000
306.5799,3,5,785000
130.0642,1,1,250000
211.81884,3,2,449500
195.0963,2,3,515000
151.43189,1,5,729999
132.85129,3,2,224500
308.43796,2,5,959000
54.81277,1,1,398000
209.96078,3,3,738950
66.89016,1,1,190000
222.03817,2,3,689800
160.72219,3,1,152500
329.80565,2,4,775000
198.81242,2,2,330000
111.4836,2,2,339900
89.18688,2,2,235000
314.94117,3,3,490000
186.73503,2,2,825000
111.4836,2,2,222000
97.54815,2,2,250000
285.21221,2,3,340500
150.50286,1,1,350000
91.97397,1,1,442000
169.08346,3,2,430000
222.9672,2,3,608000
141.21256,2,2,269950
116.12875,1,2,505000
201.59951,3,2,655000
233.18653,2,3,395000
166.29637,2,2,349000
102.1933,2,2,241450
236.90265,3,3,560000
132.85129,1,2,288000
178.37376,2,2,490000
166.29637,3,2,494000
128.20614,1,2,268000
90.11591,1,1,315000
183.01891,3,3,410000
264.77355,2,3,300000
123.56099,2,2,553000
148.6448,2,2,390000
117.98681,1,3,335000
282.42512,3,2,598780
300.07669,3,5,699000
116.12875,2,1,219000
157.00607,3,3,440000
137.49644,2,2,291000
133.78032,2,2,604000
175.58667,2,3,690000
172.79958,2,4,400000
134.70935,3,2,235000
189.52212,2,3,440000
155.14801,2,2,282500
128.20614,2,2,505000
283.35415,2,5,865000
269.4187,3,2,630000
156.07704,2,2,425000
222.03817,3,2,282000
180.23182,2,2,285000
92.903,1,3,210000
241.5478,3,3,628000
256.41228,3,4,682000
130.0642,2,3,570000
171.87055,2,3,445000
209.96078,2,3,660000
205.31563,2,4,330000
192.30921,2,3,675000
138.42547,2,1,437500
169.08346,2,1,377000
223.89623,3,4,449500
168.15443,2,3,384205
195.0963,2,2,277950
195.0963,3,3,375000
134.70935,2,2,402000
219.25108,3,2,525000
164.43831,1,2,243000
231.32847,2,3,590000
228.54138,2,4,790000
148.6448,2,3,515000
175.58667,2,2,315000
195.0963,3,2,418800
317.72826,3,3,715000
168.15443,2,2,360000
93.83203,2,1,225000
79.89658,1,1,216000
280.56706,3,3,900000
205.31563,2,2,426000
90.11591,1,2,345000
231.32847,3,3,470000
205.31563,2,3,445000
305.65087,2,3,595000
160.72219,1,2,450000
226.68332,3,3,680000
109.62554,2,2,397990
315.8702,2,5,900000
120.7739,2,2,224500
157.00607,2,2,345000
107.76748,1,2,453000
180.23182,3,4,1151250
276.85094,2,5,675000
230.39944,2,2,450000
106.83845,1,2,300000
257.34131,3,3,890000
367.89588,3,4,525000
106.83845,2,1,171500
190.45115,2,3,623000
176.5157,2,3,550000
122.63196,2,2,330000
147.71577,2,2,355000
382.76036,3,5,863000
191.008568,1,2,289000
307.50893,3,4,1140000
238.574904,3,4,425996
147.71577,2,2,349000
276.85094,3,5,1155000
265.70258,2,2,365000
176.5157,2,2,316000
206.24466,2,5,654000
203.45757,3,3,833000
385.54745,3,5,929000
104.98039,2,2,426000
221.10914,2,4,446250
357.67655,3,5,995000
232.2575,3,3,730000
148.6448,3,2,356000
237.83168,2,4,823000
267.56064,3,3,419900
201.59951,2,5,1150000
273.13482,3,3,482500
271.27676,2,4,550000
111.4836,2,2,219000
190.45115,2,4,465000
228.54138,3,3,640000
301.93475,3,3,980000
157.00607,2,2,390000
212.74787,3,2,1003000
127.27711,1,3,703011
249.90907,2,3,445000
157.9351,2,3,349950
271.27676,2,3,650000
147.71577,3,3,337000
183.94794,3,2,357000
192.30921,2,2,289950
205.31563,1,3,767500
196.95436,3,2,379400
67.81919,1,2,378500
205.31563,3,2,733000
141.21256,2,2,167000
167.2254,2,3,493500
170.94152,2,2,411715
248.98004,2,3,830200
231.32847,2,3,370000
316.79923,3,4,743000
309.36699,3,5,936000
123.56099,2,2,225000
299.14766,3,3,950968
280.56706,3,4,805000
131.92226,1,2,550000
267.56064,3,3,614000
295.43154,3,4,1050000
222.9672,3,3,327000
215.53496,2,3,580500
255.48325,2,2,510000
122.63196,2,3,535000
105.90942,1,2,549000
148.6448,2,2,285000
225.75429,2,3,762400
321.44438,3,4,858450
217.39302,3,3,314000
139.3545,2,3,436000
133.78032,1,2,365000
210.88981,2,4,815000
243.40586,3,3,678500
153.28995,2,2,400000
182.08988,2,2,363000
282.889635,3,3,414000
195.0963,3,3,375000
170.94152,2,2,350000
238.76071,3,2,500000
219.25108,3,1,459000
200.67048,3,2,480000
132.85129,2,3,520000
277.77997,3,4,625000
167.2254,2,2,471001
267.56064,2,3,1015000
157.9351,2,2,565000
196.95436,3,2,316000
194.16727,2,2,339000
92.903,1,1,380000
81.75464,1,1,376000
121.70293,1,3,500000
136.56741,2,3,652000
209.03175,3,2,637800
104.05136,2,2,552000
253.62519,3,3,489500
365.201693,3,5,450000
179.30279,2,3,295000
247.12198,3,2,287000
115.19972,2,2,225000
271.27676,3,4,515500
124.49002,2,3,303000
68.74822,1,1,157500
235.97362,3,5,800000
250.931003,3,2,270000
164.995728,2,3,620000
276.85094,3,3,505000
243.40586,2,2,597500
208.10272,2,2,432500
108.69651,2,2,250000
195.0963,2,3,499900
170.01249,3,3,269800
130.0642,1,2,575000
236.159426,3,3,359950
305.65087,3,4,750000
143.99965,2,3,530000
120.7739,2,2,819000
157.9351,3,2,437000
191.38018,3,2,562000
226.68332,3,3,330000
94.76106,2,2,489000
157.00607,2,2,515000
157.00607,2,2,461000
296.36057,2,4,757000
170.94152,3,2,360000
91.97397,1,2,219950
232.2575,3,4,808000
117.05778,3,2,220000
175.58667,2,2,265000
114.27069,1,2,375000
73.39337,2,1,170000
168.15443,2,2,266490
185.341485,3,3,266000
130.0642,1,1,200000
257.34131,2,4,715000
130.0642,1,2,421000
296.36057,3,5,864000
181.16085,1,3,555000
258.27034,3,4,870000
248.05101,2,4,749000
106.83845,2,2,354500
261.521945,3,4,477500
105.90942,2,3,560000
174.65764,2,2,261950
197.88339,2,2,360000
83.6127,1,1,350000
135.63838,2,2,290000
170.94152,3,2,429000
124.49002,2,2,255000
189.52212,3,3,502000
222.9672,2,4,750000
189.52212,2,3,379950
278.709,2,2,490500
93.83203,1,2,280000
194.16727,3,2,338000
81.75464,2,1,550000
292.64445,3,4,999000
118.91584,2,3,552000
248.98004,3,3,437500
85.47076,1,1,229950
161.65122,2,3,430000
195.0963,2,4,555000
124.49002,3,2,420000
117.05778,2,1,195000
56.67083,1,1,314200
133.78032,2,3,267000
253.62519,3,3,435000
144.92868,1,2,181000
301.93475,2,5,1050000
98.47718,1,1,435000
240.61877,3,3,519995
131.92226,2,3,579950
123.56099,2,2,374500
215.53496,3,3,316000
234.11556,3,4,680000
212.74787,3,2,625000
170.01249,1,2,460000
127.27711,2,4,720000
183.94794,3,3,900000
172.79958,3,3,585000
205.31563,2,3,429000
87.32882,1,2,246500
106.83845,3,1,334000
217.39302,2,2,645000
203.45757,2,2,194250
142.14159,2,2,474000
109.62554,1,2,244000
245.542629,3,3,376950
204.200794,2,3,388000
169.08346,2,3,539950
135.63838,2,2,207000
122.63196,3,1,250000
141.21256,2,2,310000
229.47041,3,3,625000
126.34808,1,2,536500
93.83203,2,1,150000
329.80565,3,3,450000
240.61877,3,3,300000
91.97397,1,2,285000
187.66406,2,2,290000
73.39337,1,1,285000
186.73503,2,3,471000
102.1933,2,1,157500
150.50286,2,3,640000
102.1933,2,2,215000
236.90265,3,3,675000
136.56741,1,2,602000
247.12198,3,2,635000
232.2575,3,2,530000
117.98681,2,3,445700
143.07062,2,2,279000
280.56706,2,4,910000
263.84452,3,2,292050
111.4836,1,2,445000
299.14766,3,4,697000
230.39944,2,2,350000
142.14159,2,3,500000
182.08988,2,1,180000
234.11556,3,2,770000
287.9993,3,4,735000
185.806,2,2,367000
222.03817,3,2,339000
135.63838,2,1,259950
313.08311,2,3,830000
290.78639,3,5,745000
153.28995,2,2,241000
180.23182,2,2,299950
184.87697,3,2,260000
257.34131,1,3,505000
272.20579,3,4,840000
106.83845,2,2,123300
176.5157,2,2,557500
185.806,2,3,515000
237.83168,3,3,379500
142.14159,2,2,230000
184.87697,2,3,450000
118.91584,2,1,291000
155.14801,2,2,249950
217.39302,3,2,210000
224.82526,3,2,820000
166.29637,2,2,615000
148.6448,2,2,240000
170.01249,2,2,275000
105.90942,1,3,570000
126.34808,2,3,532170
161.65122,2,3,545000
253.62519,3,4,756000
76.18046,1,2,554000
96.61912,2,2,390000
229.47041,3,4,485000
135.63838,2,2,258500
243.40586,3,3,475000
78.96755,2,2,295000
104.05136,2,2,549995
281.49609,3,4,902000
129.13517,1,1,460000
169.08346,3,2,790000
192.30921,2,3,325000
237.83168,3,4,410000
110.55457,2,1,390000
172.79958,2,1,1052000
117.429392,2,3,530000
176.5157,2,2,405000
207.17369,2,2,235000
126.34808,1,2,525000
90.11591,1,1,215000
126.34808,2,2,159000
135.63838,1,2,390500
291.71542,3,2,775000
114.27069,2,2,410000
140.28353,2,2,490000
229.47041,3,3,735000
94.76106,2,2,335000
141.21256,2,2,265000
130.0642,2,2,311000
137.49644,2,3,395000
259.19937,3,4,685100
163.50928,2,2,605000
166.29637,3,2,410000
135.63838,3,1,162000
147.71577,2,2,324500
162.58025,3,3,750000
117.05778,2,2,312620
223.89623,3,3,550000
196.95436,3,2,682000
355.81849,3,4,887000
168.15443,3,2,208000
141.21256,1,2,619950
241.5478,3,3,750000
99.40621,1,2,217500
208.10272,3,3,580379
132.85129,2,2,551100
216.556893,3,3,345000
121.70293,3,2,304000
189.52212,3,3,575000
141.21256,2,1,369950
140.28353,2,2,360000
263.84452,3,2,396000
132.85129,2,3,384000
120.7739,2,1,350000
165.36734,3,3,538200
230.39944,3,2,599000
263.84452,2,5,717550
181.16085,2,3,375000
261.98646,2,4,735000
140.28353,2,1,199950
99.592016,2,2,250000
182.08988,3,3,308000
130.0642,2,2,710000
181.16085,3,1,225000
173.72861,2,3,650000
153.28995,2,3,390000
181.16085,3,2,315000
111.4836,2,2,150000
140.28353,2,2,335000
123.56099,2,2,197500
276.85094,2,3,480000
124.49002,2,2,330000
240.61877,2,3,538250
105.90942,3,2,410000
173.72861,3,2,313999
205.31563,3,3,330000
117.05778,2,3,437500
204.3866,3,2,547000
193.23824,3,2,360000
224.82526,3,4,725000
128.20614,1,2,294000
157.00607,2,2,230500
266.63161,3,4,720000
99.40621,2,2,195000
93.83203,2,2,200000
209.03175,3,3,350000
325.1605,3,4,1075000
115.19972,2,3,529950
71.53531,1,1,230000
198.81242,2,3,393000
310.29602,2,4,485000
190.45115,3,3,360000
151.43189,2,2,224950
252.69616,2,3,460000
216.46399,3,2,780000
152.36092,1,2,540000
183.01891,2,2,425000
211.81884,3,3,649800
334.4508,3,4,1075000
345.59916,2,5,1080000
158.86413,1,2,332544
249.90907,3,4,700000
208.10272,3,2,242000
262.91549,3,3,700000
169.08346,2,3,327500
364.17976,3,5,850000
225.75429,3,2,490000
362.3217,3,5,780000
112.41263,2,2,290000
142.14159,2,3,460000
153.28995,2,2,410000
145.85771,1,3,800000
149.57383,2,3,305000
156.07704,2,2,350000
160.72219,2,3,499990
132.85129,2,2,465000
235.04459,3,2,349900
321.44438,3,5,746500
256.41228,2,4,500000
279.63803,3,5,870000
123.56099,2,2,525000
105.90942,1,1,275000
74.3224,1,2,379000
323.30244,3,5,810000
140.28353,2,2,322000
108.69651,2,2,250000
103.12233,1,3,229800
155.14801,2,2,274950
180.23182,2,2,525000
306.5799,3,3,510000
221.10914,3,3,600000
193.23824,2,3,448500
264.216132,3,3,359950
106.83845,2,3,717000
245.26392,3,3,387990
157.9351,2,2,280000
248.05101,3,4,515000
254.55422,3,3,675000
132.85129,2,2,220000
110.55457,1,1,195000
301.00572,3,4,1065000
158.86413,2,2,480000
319.58632,3,3,554000
245.26392,3,3,429900
370.68297,3,4,609000
282.42512,3,3,562000
150.50286,2,1,260656
122.63196,1,3,529000
261.05743,3,5,742000
235.97362,2,5,735000
117.05778,2,2,505000
125.41905,2,1,349990
117.05778,1,2,405000
213.6769,2,3,650000
91.97397,1,1,430000
79.89658,1,2,390000
230.39944,3,2,560000
279.63803,3,4,830000
234.11556,3,2,425000
228.54138,3,3,635000
133.78032,3,1,162000
260.1284,3,3,639983
150.50286,2,2,347500
106.83845,2,2,480000
167.2254,2,3,335620
325.1605,3,5,1047000
106.83845,1,1,441000
196.95436,3,2,720168
350.24431,3,5,1038000
144.92868,2,2,285000
220.18011,3,2,305000
153.28995,2,2,220000
83.6127,1,1,152900
199.74145,3,2,419000
148.6448,2,2,525000
96.61912,2,2,626000
148.6448,1,2,492500
81.75464,1,1,406000
93.83203,2,2,255000
166.29637,3,2,704300
145.85771,1,2,299990
122.63196,2,3,475000
168.15443,2,2,420000
175.58667,2,3,445000
144.278359,2,2,240000
170.94152,2,2,325000
236.90265,2,4,695000
110.55457,3,1,190000
176.5157,1,3,541500
337.23789,3,5,490000
175.58667,3,2,325000
183.01891,2,3,280000
125.604856,2,3,325000
236.90265,1,2,345000
148.6448,3,2,525000
144.92868,2,2,595000
261.98646,3,3,875000
145.85771,2,3,570000
330.73468,3,3,616950
305.65087,3,3,602000
209.96078,2,2,625000
127.27711,1,2,385000
117.05778,2,1,300000
149.57383,2,2,255000
122.63196,2,1,232500
377.18618,3,5,1017100
136.56741,3,2,250000
291.71542,3,5,780000
176.5157,2,2,385000
215.53496,3,2,822500
177.44473,3,2,650000
100.33524,2,1,228500
132.85129,1,3,522500
232.907821,2,3,551870
134.70935,2,2,482500
217.39302,3,3,485000
112.41263,1,3,414500
182.08988,3,3,460000
114.27069,2,2,200000
204.3866,3,3,355000
137.49644,2,2,325000
204.3866,3,1,205000
192.30921,2,3,250000
141.21256,2,3,550000
117.05778,2,2,245000
117.98681,1,3,313500
248.05101,2,4,865000
288.92833,3,4,585000
162.58025,2,3,420000
208.10272,3,2,480000
99.40621,1,2,415000
245.26392,3,2,632500
164.43831,3,2,264950
132.85129,1,2,350000
219.25108,3,3,340000
191.38018,2,3,560000
137.49644,2,2,439000
115.19972,2,2,420000
209.03175,3,3,605000
196.02533,3,2,315000
165.36734,1,4,935000
317.72826,3,4,725000
133.78032,2,2,295000
153.28995,1,1,265000
172.79958,2,2,445000
299.426369,3,4,469950
104.98039,2,1,126500
289.85736,3,4,800000
199.74145,2,1,300000
79.89658,1,1,405000
164.43831,3,2,309950
145.85771,2,3,835000
277.77997,3,4,785000
263.84452,2,4,500000
247.586495,3,4,340000
244.520696,3,3,349950
98.47718,2,2,325000
93.83203,2,2,240000
295.43154,3,4,790000
131.92226,2,2,435000
100.33524,2,2,390000
141.21256,3,2,389000
98.47718,1,1,299995
183.01891,3,3,442500
194.16727,3,2,300000
97.54815,1,2,515000
183.01891,2,3,525000
99.40621,2,2,337000
110.55457,2,2,195000
150.50286,2,2,460000
185.806,2,2,525000
138.42547,2,2,259900
353.96043,3,5,966000
116.12875,3,2,212000
87.32882,2,1,551000
88.25785,1,2,193500
226.68332,3,4,749500
137.49644,2,1,455000
177.44473,2,4,663000
313.08311,3,3,890000
171.87055,2,2,450000
214.60593,2,3,739000
152.36092,2,3,505000
185.806,3,3,710000
161.65122,3,1,320000
254.55422,3,3,483500
199.74145,3,2,755000
174.65764,2,2,449950
186.73503,2,4,960000
95.69009,2,2,275000
144.92868,1,2,724000
325.1605,3,4,879950
50.16762,1,1,425000
92.903,1,1,231500
143.99965,2,2,650000
252.69616,3,3,455950
282.42512,2,4,410000
376.25715,3,5,1005000
193.23824,3,2,474950
251.76713,3,2,258000
78.03852,1,2,355000
120.7739,2,2,690000
199.74145,2,4,595000
245.26392,2,4,930000
114.27069,1,2,440000
257.34131,2,3,678000
175.58667,3,2,375000
279.63803,3,3,530000
167.2254,2,3,665000
76.18046,1,1,375000
70.60628,1,1,289950
284.28318,3,3,369000
335.37983,3,2,650000
323.30244,3,3,970000
114.27069,2,2,383610
134.70935,2,2,410000
153.28995,3,2,402500
164.43831,3,2,620000
86.39979,1,1,360000
246.19295,2,4,1050000
301.00572,3,1,370000
127.27711,2,2,205000
268.48967,3,3,502000
236.90265,3,4,465000
218.32205,2,3,875000
225.75429,3,2,518000
320.51535,3,4,380000
166.29637,2,2,475000
283.35415,1,5,890000
187.66406,3,2,599500
88.25785,1,1,490000
260.1284,3,4,940000
273.13482,2,4,589000
212.74787,3,3,745000
213.6769,3,2,392000
104.05136,1,2,450000
74.3224,1,1,285000
141.21256,3,1,210000
153.28995,2,2,453000
301.00572,3,3,750000
135.63838,2,2,775000
249.90907,3,4,439000
147.71577,2,3,305100
143.99965,3,2,318500
167.2254,2,3,410000
248.98004,1,4,930000
169.08346,2,4,469950
221.10914,3,3,855000
117.05778,2,2,210000
236.90265,3,3,315000
227.61235,3,3,729000
249.90907,2,4,829000
79.89658,2,1,210000
235.04459,3,2,355000
235.97362,2,3,650000
197.88339,3,2,320000
206.24466,2,3,558000
273.13482,3,3,640000
204.3866,3,3,299900
111.4836,2,2,178500
246.19295,3,3,725000
141.21256,2,2,434900
169.08346,3,2,265000
169.08346,2,3,505000
222.03817,3,3,926250
216.46399,3,3,630000
103.12233,1,2,252500
319.58632,2,5,610000
146.78674,2,2,216000
154.21898,2,3,490000
203.45757,2,3,463000
183.94794,3,2,700000
145.85771,2,3,660000
156.07704,3,2,619500
167.2254,2,3,474900
93.83203,2,1,145000
200.67048,3,3,585000
131.92226,3,2,400000
180.23182,2,2,232500
246.19295,2,4,898000
159.79316,3,2,555000
250.8381,3,3,837500
323.30244,3,3,650000
157.9351,2,2,268000
246.19295,3,3,665000
158.86413,3,2,431650
119.84487,2,2,331000
279.63803,3,3,542500
232.2575,3,2,580000
252.69616,2,3,455000
136.56741,1,2,548000
336.30886,3,3,768500
162.58025,3,2,225000
310.29602,3,4,637850
77.10949,1,1,385000
100.33524,1,2,429000
278.709,3,2,397000
222.9672,3,2,300000
318.65729,3,5,740000
208.10272,3,3,325000
313.08311,3,3,592500
71.53531,2,1,156000
131.92226,2,1,248000
130.99323,2,2,383000
160.72219,3,2,320000
128.20614,2,3,527500
122.63196,2,2,259000
115.19972,2,2,185000
215.53496,3,4,260000
207.17369,2,3,439000
196.02533,3,3,796000
153.28995,2,3,378000
84.54173,2,1,299950
73.39337,1,1,169500
177.44473,2,2,275000
222.03817,2,3,629800
216.46399,3,3,299900
275.92191,2,4,525000
96.61912,1,1,270000
210.88981,3,2,310000
154.21898,2,2,432000
101.26427,2,1,285000
113.34166,3,1,310000
105.90942,1,3,425000
182.08988,2,3,285750
118.91584,2,2,220000
110.55457,2,2,200000
117.98681,1,1,390000
261.98646,3,2,697000
270.34773,3,3,585083
254.55422,3,4,415000
139.3545,3,2,249900
149.57383,2,3,430000
111.4836,2,3,718500
80.82561,1,2,387500
154.21898,1,1,368000
276.85094,3,3,750000
191.38018,3,3,323400
381.83133,2,2,1031000
115.19972,1,2,505000
259.19937,3,5,765000
132.85129,1,2,350000
220.18011,3,3,899000
122.63196,2,2,159000
292.64445,3,5,935000
247.12198,2,4,915000
277.77997,2,4,500000
174.65764,2,3,320000
141.21256,2,1,299000
136.56741,3,2,426000
190.45115,3,3,689500
183.94794,1,2,549000
72.46434,1,1,315000
184.87697,2,2,330000
134.151932,2,2,420000
130.0642,2,2,231200
136.56741,2,1,350000
85.47076,2,2,212500
183.01891,2,3,606000
263.84452,3,2,425000
112.41263,2,2,208000
164.43831,2,2,250000
378.393919,3,3,510000
296.36057,3,4,790000
147.71577,1,4,411000
68.74822,1,1,250000
115.19972,1,3,277700
293.57348,3,5,795000
238.76071,3,3,397500
99.40621,3,1,400800
151.43189,2,2,499990
130.99323,3,2,355000
226.68332,3,3,780000
243.40586,3,2,300000
227.61235,3,4,760000
301.93475,3,3,1050000
314.94117,3,4,1054690
117.05778,2,2,465750
81.75464,1,2,415000
209.96078,2,4,532000
220.18011,3,4,1130000
204.3866,2,3,360000
222.03817,3,3,770126
166.29637,3,3,695000
92.903,1,2,377000
234.11556,3,3,560000
117.05778,2,3,479000
197.88339,2,2,361000
112.41263,1,2,402000
189.52212,3,1,534000
146.78674,2,2,253000
193.23824,3,2,300000
88.25785,2,2,435000
380.9023,3,4,775000
194.16727,3,2,465000
225.75429,3,3,825000
239.68974,3,3,899000
211.81884,3,2,721000
93.83203,2,3,354000
117.05778,2,1,570000
128.20614,2,2,275000
233.18653,3,4,448000
161.65122,2,2,261500
310.29602,3,5,720000
211.81884,2,4,557000
193.23824,1,3,530000
303.79281,3,4,1033890
237.83168,1,1,535000
126.34808,3,2,511500
304.72184,3,4,965000
390.1926,3,4,850000
143.99965,2,2,350000
131.92226,2,4,550000
237.83168,3,3,740000
135.63838,2,3,601500
196.02533,3,3,460000
107.76748,2,2,422000
110.55457,1,3,455000
212.74787,3,2,430000
137.49644,2,3,425000
140.28353,2,2,400000
98.47718,2,2,220000
176.887312,3,2,365000
261.98646,3,5,692500
153.28995,2,2,361000
229.47041,3,3,609000
194.16727,1,2,275000
250.8381,3,3,725000
119.84487,2,2,372220
135.63838,1,4,655000
234.11556,3,2,387846
141.21256,2,2,550000
79.89658,2,1,207000
130.99323,2,2,335000
138.42547,2,2,253000
134.70935,1,2,350500
286.14124,2,2,299000
227.61235,2,3,937000
130.0642,2,1,435000
204.3866,2,3,410000
110.55457,2,2,517500
176.5157,2,3,335000
93.83203,1,2,375000
355.81849,3,4,710000
195.0963,2,3,437500
289.85736,3,4,760000
260.1284,3,3,449950
233.18653,3,4,900000
117.05778,1,2,374000
233.18653,3,3,490000
133.78032,1,2,203000
74.3224,1,1,375000
274.99288,3,4,367000
186.73503,2,3,620000
227.61235,3,3,849000
121.70293,2,3,524000
75.25143,2,1,385000
305.65087,2,5,685000
188.59309,3,2,302000
105.90942,2,2,335000
177.44473,3,2,297500
331.66371,3,4,928990
177.44473,2,3,588000
96.61912,2,2,240000
124.49002,2,2,387000
244.33489,3,3,843500
259.19937,2,3,478000
125.41905,3,2,304500
233.18653,3,3,788500
258.27034,2,3,402500
236.90265,3,4,369000
120.7739,2,1,208000
148.737703,2,2,378000
190.45115,2,2,442000
164.43831,2,3,327500
152.36092,2,2,350000
133.78032,1,2,395000
117.05778,3,1,451000
91.230746,1,3,250000
167.2254,3,2,344500
200.67048,3,2,312500
68.74822,1,2,299000
182.08988,3,2,520000
194.16727,2,3,455000
115.19972,1,1,319950
180.23182,2,2,651000
184.133746,3,3,283200
142.14159,2,2,265000
127.27711,2,2,257950
73.39337,1,1,280000
173.72861,3,3,314000
182.08988,2,2,480000
165.36734,3,3,540000
187.66406,2,4,560000
158.86413,2,3,445000
330.73468,3,5,833000
170.384102,3,3,280000
182.08988,2,1,415000
117.05778,1,2,401000
340.95401,3,5,883000
314.94117,3,3,780000
214.60593,2,3,817000
174.65764,2,3,530000
222.9672,3,3,405000
235.97362,3,3,799990
120.7739,3,1,175000
214.60593,2,4,815000
208.10272,2,2,452500
235.97362,3,3,420000
117.05778,2,1,270000
270.34773,2,2,570000
193.23824,2,3,506950
144.92868,2,2,451000
210.88981,2,3,475000
222.781394,3,3,400000
125.41905,1,3,428000
127.27711,2,2,375000
161.65122,2,3,257000
89.18688,1,1,325000
129.13517,2,2,290000
169.08346,2,3,750000
123.56099,2,1,280000
226.68332,3,2,425000
83.6127,1,2,325000
224.82526,3,4,998000
167.2254,2,3,385000
184.87697,2,3,542000
130.0642,2,2,395000
187.66406,3,2,360000
223.89623,2,3,715500
189.52212,2,2,500000
220.18011,3,2,399888
136.56741,2,2,254000
143.07062,2,2,441000
106.83845,2,1,203000
139.3545,2,2,290000
192.30921,3,3,272000
194.16727,3,2,340000
235.97362,2,3,359950
97.54815,1,2,325000
143.07062,3,2,215000
204.3866,2,2,525000
84.54173,2,1,169900
351.17334,3,3,549950
291.250905,3,4,374500
211.81884,3,3,565000
195.0963,3,2,522500
120.7739,2,2,455000
193.23824,2,3,424240
132.85129,3,2,375000
